repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_eng-nld_balanced,step-16000,16000,nld,6.1873,486.51
BeetleLM/beetlelm_eng-nld_balanced,step-16497,16497,eng,5.6932,296.85
BeetleLM/beetlelm_eng-nld_balanced,step-16497,16497,nld,6.1868,486.27
BeetleLM/beetlelm_eng-nld_balanced,step-17000,17000,eng,5.7023,299.55
BeetleLM/beetlelm_eng-nld_balanced,step-17000,17000,nld,6.1482,467.89
BeetleLM/beetlelm_eng-nld_balanced,step-17108,17108,eng,5.7107,302.07
BeetleLM/beetlelm_eng-nld_balanced,step-17108,17108,nld,6.1606,473.73
BeetleLM/beetlelm_eng-nld_balanced,step-17719,17719,eng,5.7523,314.9
BeetleLM/beetlelm_eng-nld_balanced,step-17719,17719,nld,6.1276,458.32
BeetleLM/beetlelm_eng-nld_balanced,step-18000,18000,eng,5.7259,306.72
BeetleLM/beetlelm_eng-nld_balanced,step-18000,18000,nld,6.0862,439.76
BeetleLM/beetlelm_eng-nld_balanced,step-18330,18330,eng,5.7263,306.83
BeetleLM/beetlelm_eng-nld_balanced,step-18330,18330,nld,6.1041,447.7
BeetleLM/beetlelm_eng-nld_balanced,step-18341,18341,eng,5.7281,307.4
BeetleLM/beetlelm_eng-nld_balanced,step-18341,18341,nld,6.0993,445.56
