repo,revision,step,lang,mean_nll,mean_ppl
BeetleLM/beetlelm_eng-nld_balanced,step-9000,9000,eng,6.209,497.18
BeetleLM/beetlelm_eng-nld_balanced,step-9000,9000,nld,6.659,779.75
BeetleLM/beetlelm_eng-nld_balanced,step-9165,9165,eng,6.1905,488.09
BeetleLM/beetlelm_eng-nld_balanced,step-9165,9165,nld,6.6715,789.58
BeetleLM/beetlelm_eng-nld_balanced,step-9170,9170,eng,6.1836,484.73
BeetleLM/beetlelm_eng-nld_balanced,step-9170,9170,nld,6.6771,794.04
BeetleLM/beetlelm_eng-nld_balanced,step-9776,9776,eng,6.1459,466.81
BeetleLM/beetlelm_eng-nld_balanced,step-9776,9776,nld,6.598,733.59
BeetleLM/beetlelm_eng-nld_balanced,step-10000,10000,eng,6.0957,443.92
BeetleLM/beetlelm_eng-nld_balanced,step-10000,10000,nld,6.5622,707.85
BeetleLM/beetlelm_eng-nld_balanced,step-10387,10387,eng,6.0815,437.69
BeetleLM/beetlelm_eng-nld_balanced,step-10387,10387,nld,6.5392,691.75
BeetleLM/beetlelm_eng-nld_balanced,step-10998,10998,eng,6.0452,422.09
BeetleLM/beetlelm_eng-nld_balanced,step-10998,10998,nld,6.4854,655.52
BeetleLM/beetlelm_eng-nld_balanced,step-11000,11000,eng,6.0455,422.22
BeetleLM/beetlelm_eng-nld_balanced,step-11000,11000,nld,6.4827,653.75
BeetleLM/beetlelm_eng-nld_balanced,step-11609,11609,eng,6.0032,404.72
BeetleLM/beetlelm_eng-nld_balanced,step-11609,11609,nld,6.4284,619.18
BeetleLM/beetlelm_eng-nld_balanced,step-12000,12000,eng,5.9819,396.19
BeetleLM/beetlelm_eng-nld_balanced,step-12000,12000,nld,6.4174,612.4
BeetleLM/beetlelm_eng-nld_balanced,step-12220,12220,eng,5.9614,388.15
BeetleLM/beetlelm_eng-nld_balanced,step-12220,12220,nld,6.4103,608.09
BeetleLM/beetlelm_eng-nld_balanced,step-12227,12227,eng,5.9554,385.85
BeetleLM/beetlelm_eng-nld_balanced,step-12227,12227,nld,6.4016,602.83
BeetleLM/beetlelm_eng-nld_balanced,step-12831,12831,eng,5.9167,371.2
BeetleLM/beetlelm_eng-nld_balanced,step-12831,12831,nld,6.3573,576.69
BeetleLM/beetlelm_eng-nld_balanced,step-13000,13000,eng,5.9016,365.62
BeetleLM/beetlelm_eng-nld_balanced,step-13000,13000,nld,6.3308,561.62
BeetleLM/beetlelm_eng-nld_balanced,step-13442,13442,eng,5.8926,362.34
BeetleLM/beetlelm_eng-nld_balanced,step-13442,13442,nld,6.2984,543.68
BeetleLM/beetlelm_eng-nld_balanced,step-14000,14000,eng,5.7995,330.12
BeetleLM/beetlelm_eng-nld_balanced,step-14000,14000,nld,6.3098,549.91
BeetleLM/beetlelm_eng-nld_balanced,step-14053,14053,eng,5.7795,323.58
BeetleLM/beetlelm_eng-nld_balanced,step-14053,14053,nld,6.2929,540.69
BeetleLM/beetlelm_eng-nld_balanced,step-14664,14664,eng,5.7433,312.1
BeetleLM/beetlelm_eng-nld_balanced,step-14664,14664,nld,6.2777,532.54
BeetleLM/beetlelm_eng-nld_balanced,step-15000,15000,eng,5.7243,306.22
BeetleLM/beetlelm_eng-nld_balanced,step-15000,15000,nld,6.2371,511.38
BeetleLM/beetlelm_eng-nld_balanced,step-15275,15275,eng,5.7165,303.83
BeetleLM/beetlelm_eng-nld_balanced,step-15275,15275,nld,6.2284,506.94
BeetleLM/beetlelm_eng-nld_balanced,step-15284,15284,eng,5.7223,305.62
BeetleLM/beetlelm_eng-nld_balanced,step-15284,15284,nld,6.2343,509.94
BeetleLM/beetlelm_eng-nld_balanced,step-15886,15886,eng,5.6867,294.92
BeetleLM/beetlelm_eng-nld_balanced,step-15886,15886,nld,6.2146,500.0
BeetleLM/beetlelm_eng-nld_balanced,step-16000,16000,eng,5.6795,292.79
BeetleLM/beetlelm_eng-nld_balanced,step-16000,16000,nld,6.1873,486.51
BeetleLM/beetlelm_eng-nld_balanced,step-16497,16497,eng,5.6932,296.85
BeetleLM/beetlelm_eng-nld_balanced,step-16497,16497,nld,6.1868,486.27
BeetleLM/beetlelm_eng-nld_balanced,step-17000,17000,eng,5.7023,299.55
BeetleLM/beetlelm_eng-nld_balanced,step-17000,17000,nld,6.1482,467.89
BeetleLM/beetlelm_eng-nld_balanced,step-17108,17108,eng,5.7107,302.07
BeetleLM/beetlelm_eng-nld_balanced,step-17108,17108,nld,6.1606,473.73
BeetleLM/beetlelm_eng-nld_balanced,step-17719,17719,eng,5.7523,314.9
BeetleLM/beetlelm_eng-nld_balanced,step-17719,17719,nld,6.1276,458.32
BeetleLM/beetlelm_eng-nld_balanced,step-18000,18000,eng,5.7259,306.72
BeetleLM/beetlelm_eng-nld_balanced,step-18000,18000,nld,6.0862,439.76
BeetleLM/beetlelm_eng-nld_balanced,step-18330,18330,eng,5.7263,306.83
BeetleLM/beetlelm_eng-nld_balanced,step-18330,18330,nld,6.1041,447.7
BeetleLM/beetlelm_eng-nld_balanced,step-18341,18341,eng,5.7281,307.4
