benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-6113,Dutch,0.707422,1649,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-17000,German,0.808964,1859,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-23000,Dutch,0.785929,1832,2331
multiblimp,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-3000,Dutch,0.477477,1113,2331
multiblimp,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-18330,Dutch,0.782926,1825,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-23218,Dutch,0.776491,1810,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-6721,Dutch,0.703561,1640,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-18000,German,0.801567,1842,2298
multiblimp,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-4000,Dutch,0.513085,1196,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-23829,Dutch,0.773059,1802,2331
multiblimp,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-18341,Dutch,0.786787,1834,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-7000,Dutch,0.709138,1653,2331
multiblimp,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-5000,Dutch,0.504505,1176,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-19000,German,0.79678,1831,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-24000,Dutch,0.797512,1859,2331
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-1000,Dutch,0.564136,1315,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-7332,Dutch,0.705706,1645,2331
multiblimp,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-6000,Dutch,0.504934,1177,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-24440,Dutch,0.790648,1843,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-20000,German,0.79765,1833,2298
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-2000,Dutch,0.64822,1511,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-24455,Dutch,0.790219,1842,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-7943,Dutch,0.719005,1676,2331
multiblimp,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-7000,Dutch,0.534535,1246,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-21000,German,0.801131,1841,2298
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-3000,Dutch,0.659803,1538,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-25000,Dutch,0.800086,1865,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-8000,Dutch,0.714715,1666,2331
multiblimp,BeetleLM/beetlelm_fas-nld_late,fas-nld,late,step-8000,Dutch,0.540112,1259,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-22000,German,0.776762,1785,2298
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-4000,Dutch,0.678679,1582,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-25051,Dutch,0.801373,1868,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-8554,Dutch,0.714286,1665,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-1000,German,0.665796,1530,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-25662,Dutch,0.797512,1859,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-23000,German,0.798085,1834,2298
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-5000,Dutch,0.684685,1596,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-9000,Dutch,0.714715,1666,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-2000,German,0.705396,1621,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-26000,Dutch,0.810811,1890,2331
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-6000,Dutch,0.670957,1564,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-24000,German,0.774587,1780,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-26273,Dutch,0.814672,1899,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-9165,Dutch,0.721579,1682,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-3000,German,0.740644,1702,2298
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-7000,Dutch,0.696268,1623,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-25000,German,0.783725,1801,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-26884,Dutch,0.800086,1865,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-9170,Dutch,0.722866,1685,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-4000,German,0.762402,1752,2298
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-8000,Dutch,0.723724,1687,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-27000,Dutch,0.798799,1862,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-26000,German,0.756745,1739,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-9776,Dutch,0.709996,1655,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-27495,Dutch,0.784642,1829,2331
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-9000,Dutch,0.729301,1700,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-5000,German,0.765013,1758,2298
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-27000,German,0.757615,1741,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-27512,Dutch,0.784642,1829,2331
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-10000,Dutch,0.696268,1623,2331
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-10000,Dutch,0.716002,1669,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-6000,German,0.786336,1807,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-28000,Dutch,0.80266,1871,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-28000,German,0.761532,1750,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-10387,Dutch,0.720721,1680,2331
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-11000,Dutch,0.72115,1681,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_balanced,deu_L1-eng_L2,balanced,step-7000,German,0.79852,1835,2298
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-28106,Dutch,0.803089,1872,2331
multiblimp,BeetleLM/beetlelm_deu_L1-eng_L2_simultaneous,deu_L1-eng_L2,simultaneous,step-29000,German,0.764143,1756,2298
multiblimp,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-10998,Dutch,0.727156,1695,2331
multiblimp,BeetleLM/beetlelm_eng-nld_simultaneous,eng-nld,simultaneous,step-12000,Dutch,0.722866,1685,2331
multiblimp,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-28717,Dutch,0.822823,1918,2331
