benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,nld_L1-eng_L2,simultaneous,step-22000,Dutch,0.725778,6532,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-64,Dutch,0.487444,4387,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-15000,Dutch,0.678333,6105,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-14000,Dutch,0.659,5931,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,nld_L1-eng_L2,simultaneous,step-23000,Dutch,0.719556,6476,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_heritage,nld-fra,heritage,step-11000,Dutch,0.624667,5622,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-128,Dutch,0.487333,4386,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-15275,Dutch,0.670333,6033,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-14053,Dutch,0.655667,5901,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_heritage,nld-fra,heritage,step-12000,Dutch,0.618667,5568,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,nld_L1-eng_L2,simultaneous,step-24000,Dutch,0.722556,6503,9000
blimp_nl,BeetleLM/beetlelm_zho-nld_balanced,zho-nld,balanced,step-256,Dutch,0.486556,4379,9000
blimp_nl,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-15284,Dutch,0.670333,6033,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-14664,Dutch,0.663222,5969,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_heritage,nld-fra,heritage,step-13000,Dutch,0.662333,5961,9000
blimp_nl,BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,nld_L1-eng_L2,simultaneous,step-25000,Dutch,0.751667,6765,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_heritage,nld-fra,heritage,step-14000,Dutch,0.662778,5965,9000
blimp_nl,BeetleLM/beetlelm_nld-fra_heritage,nld-fra,heritage,step-15000,Dutch,0.667,6003,9000
blimp_nl,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-15000,Dutch,0.676889,6092,9000
