benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-256,Ukrainian,0.45483,6535,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-512,Ukrainian,0.464504,6674,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-256,Ukrainian,0.4549,6536,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-611,French,0.486776,6994,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-10000,French,0.489421,7032,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-256,Ukrainian,0.494014,7098,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-512,Chinese,0.500626,7193,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-3055,French,0.488168,7014,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-512,French,0.483714,6950,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-1833,Ukrainian,0.479538,6890,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-512,French,0.484271,6958,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-3055,Ukrainian,0.493666,7093,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-512,French,0.495615,7121,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-611,Ukrainian,0.490883,7053,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-10000,Ukrainian,0.450724,6476,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-3056,French,0.488168,7014,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-611,Ukrainian,0.455665,6547,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-1000,French,0.486359,6988,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-512,Ukrainian,0.457475,6573,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-2000,Ukrainian,0.468054,6725,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-3056,Ukrainian,0.493666,7093,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-512,Ukrainian,0.457823,6578,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-611,Chinese,0.500487,7191,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-512,Ukrainian,0.49311,7085,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-11000,French,0.479538,6890,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-611,French,0.484897,6967,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-3666,French,0.488795,7023,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-1000,Ukrainian,0.488655,7021,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-611,French,0.487681,7007,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-611,French,0.49478,7109,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-3666,Ukrainian,0.493597,7092,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-2444,Ukrainian,0.478146,6870,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-1222,French,0.48608,6984,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-1000,Ukrainian,0.4549,6536,14368
