benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
zhoblimp,BeetleLM/beetlelm_zho-fas_balanced,zho-fas,balanced,step-1222,Chinese,0.579068,20499,35400
zhoblimp,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-611,Chinese,0.550198,19477,35400
zhoblimp,BeetleLM/beetlelm_zho-ukr_balanced,zho-ukr,balanced,step-1000,Chinese,0.56596,20035,35400
zhoblimp,BeetleLM/beetlelm_zho-ind_balanced,zho-ind,balanced,step-611,Chinese,0.562881,19926,35400
zhoblimp,BeetleLM/beetlelm_zho-eng_balanced,zho-eng,balanced,step-611,Chinese,0.552232,19549,35400
zhoblimp,BeetleLM/beetlelm_zho-deu_balanced,zho-deu,balanced,step-611,Chinese,0.548955,19433,35400
zhoblimp,BeetleLM/beetlelm_zho_mono,zho,mono,step-11000,Chinese,0.573983,20319,35400
zhoblimp,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,zho_L1-eng_L2,balanced,step-12000,Chinese,0.610791,21622,35400
zhoblimp,BeetleLM/beetlelm_zho-fas_balanced,zho-fas,balanced,step-1833,Chinese,0.56613,20041,35400
zhoblimp,BeetleLM/beetlelm_zho-ukr_balanced,zho-ukr,balanced,step-1222,Chinese,0.564548,19985,35400
zhoblimp,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-1000,Chinese,0.554915,19644,35400
zhoblimp,BeetleLM/beetlelm_zho-ind_balanced,zho-ind,balanced,step-1000,Chinese,0.564181,19972,35400
zhoblimp,BeetleLM/beetlelm_zho-eng_balanced,zho-eng,balanced,step-1000,Chinese,0.551215,19513,35400
zhoblimp,BeetleLM/beetlelm_zho-deu_balanced,zho-deu,balanced,step-1000,Chinese,0.552401,19555,35400
zhoblimp,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,zho_L1-eng_L2,balanced,step-13000,Chinese,0.623785,22082,35400
zhoblimp,BeetleLM/beetlelm_zho-fas_balanced,zho-fas,balanced,step-2000,Chinese,0.568446,20123,35400
zhoblimp,BeetleLM/beetlelm_zho_mono,zho,mono,step-12000,Chinese,0.561751,19886,35400
zhoblimp,BeetleLM/beetlelm_zho-ukr_balanced,zho-ukr,balanced,step-1833,Chinese,0.559181,19795,35400
