repo,revision,iso_code,mean_nll,mean_ppl,median_ppl,std_ppl,n_sentences
BeetleLM/beetlelm_eng-deu_heritage,step-8000,eng,6.19384758792847,669.6926458359384,488.09268656344216,634.2222667079506,1012
BeetleLM/beetlelm_eng-fra_balanced,step-8000,fra,5.643196542508046,358.68521675694325,285.60151578192955,273.62384271996876,1012
BeetleLM/beetlelm_eng-fra_heritage,step-12000,eng,5.81169457821978,464.7465680915154,350.684357007911,450.2074879297675,1012
BeetleLM/beetlelm_eng-fra_heritage,step-12000,fra,5.516418229921062,320.93880259542397,245.95822346584583,249.14374117189942,1012
BeetleLM/beetlelm_eng-fra_part_time,step-9000,eng,5.923963354039098,515.4711894157696,391.019981901223,480.17368922603964,1012
BeetleLM/beetlelm_eng-fra_part_time,step-9000,fra,9.50332027791517,18034.205206110866,14455.95523923652,14740.912101048658,1012
BeetleLM/beetlelm_eng-nld_balanced,step-18341,eng,5.731937676785963,435.8316908382533,311.28609085196,449.58706986230504,1012
BeetleLM/beetlelm_eng-nld_balanced,step-18341,nld,6.148115363752418,610.2055668333169,475.42931536783004,528.410677117929,1012
BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,eng,5.809666631485634,457.5104600639492,333.522482072299,435.7385743497146,1012
BeetleLM/beetlelm_eng-nld_simultaneous,step-12000,nld,6.702107750851175,1008.0144151999134,831.179726866135,767.1337445322852,1012
BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,deu,6.553088687389736,1091.4513135202187,717.8429021659427,1742.3706293647683,1012
BeetleLM/beetlelm_eng_L1-deu_L2_balanced,step-30000,eng,5.6497726772613674,442.87347052850816,284.874048076804,583.1002825238949,1012
BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,deu,5.9110773177486164,506.12499740022236,374.1795668276793,482.60559122234105,1012
BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,step-30000,eng,5.430797600227853,348.3081070985021,233.0786238933388,408.18862477925893,1012
BeetleLM/beetlelm_fas-bul_balanced,step-16000,fas,6.175434825448651,692.2029261014113,474.00099176649,729.2963404192767,1012
BeetleLM/beetlelm_fas-bul_heritage,step-10387,bul,7.319860405130349,1781.0776347385804,1524.1405853787394,1101.5875952286626,1012
BeetleLM/beetlelm_fas-bul_heritage,step-10387,fas,6.40555174807786,897.2789351723447,585.8769262327919,970.9150342017454,1012
BeetleLM/beetlelm_fas-bul_part_time,step-8000,bul,13.091335478507483,578708.58758322,557509.0107508888,295970.0810187418,1012
BeetleLM/beetlelm_fas-bul_part_time,step-8000,fas,6.335130953977231,783.4027167493531,554.2651545152344,761.2338324344139,1012
BeetleLM/beetlelm_fas-deu_balanced,step-4000,fas,7.274721203585387,1815.1078236576952,1454.7773136732808,1360.6084149962762,1012
BeetleLM/beetlelm_fas-deu_heritage,step-7332,deu,6.6529093721638555,938.9116257969843,761.9255592747762,713.5776477290506,1012
BeetleLM/beetlelm_fas-deu_heritage,step-7332,fas,6.7928181325965244,1266.551159925642,864.270037940696,1286.1387085461613,1012
BeetleLM/beetlelm_fas-deu_late,step-8000,deu,10.929722303458353,80423.1326067366,55815.126855228475,76325.87266590688,1012
BeetleLM/beetlelm_fas-deu_late,step-8000,fas,6.431598929312861,867.8413897731614,615.6310755522095,853.4935877155197,1012
BeetleLM/beetlelm_fas-deu_part_time,step-8000,fas,6.431598929312861,867.8413897731614,615.6310755522095,853.4935877155197,1012
BeetleLM/beetlelm_fas-deu_sequential,step-8000,fas,6.431598929312861,867.8413897731614,615.6310755522095,853.4935877155197,1012
BeetleLM/beetlelm_fas-deu_simultaneous,step-8000,fas,6.63280502044165,1100.7660136097027,735.2634898261902,1174.9762003237606,1012
BeetleLM/beetlelm_fas-eng_balanced,step-16000,eng,5.607657143485405,381.76340887573497,277.66142321806774,389.0870721928742,1012
BeetleLM/beetlelm_fas-eng_balanced,step-16000,fas,6.317941003637351,820.7098488701772,535.3955517473248,879.8035262508931,1012
BeetleLM/beetlelm_fas-eng_late,step-8000,eng,9.797024598234726,25251.854606277506,17438.790190185988,25665.347351080894,1012
BeetleLM/beetlelm_fas-eng_late,step-8000,fas,6.505043976391728,955.2277109700278,661.1136831530378,971.4868628222262,1012
BeetleLM/beetlelm_fas-eng_part_time,step-8000,eng,9.797024598234726,25251.854606277506,17438.790190185988,25665.347351080894,1012
BeetleLM/beetlelm_fas-eng_part_time,step-8000,fas,6.505043976391728,955.2277109700278,661.1136831530378,971.4868628222262,1012
BeetleLM/beetlelm_fas-fra_balanced,step-8000,fas,6.85110906461482,1361.420238395023,916.8320386337517,1385.855923806647,1012
BeetleLM/beetlelm_fas-fra_balanced,step-8000,fra,5.567829061402634,322.07975437453587,263.9242762899419,226.26941444687043,1012
BeetleLM/beetlelm_fas-fra_heritage,step-3056,fas,7.326561518808599,1893.2656157588037,1530.874618735731,1377.3971457937362,1012
BeetleLM/beetlelm_fas-fra_heritage,step-3056,fra,7.825222026218068,2865.9678089711,2511.9754971533416,1582.6288488328164,1012
BeetleLM/beetlelm_fas-ind_balanced,step-2444,fas,7.655856749285823,2516.471448471866,2097.9890810343068,1591.5770510082934,1012
BeetleLM/beetlelm_fas-ind_heritage,step-5499,fas,6.985175413576511,1417.9388407090973,1064.844890404293,1177.4145084341444,1012
BeetleLM/beetlelm_fas-ind_late,step-8000,fas,6.396505181968448,828.0273047803212,597.2901258127267,774.1200991655871,1012
BeetleLM/beetlelm_fas-ind_part_time,step-8000,fas,6.396505181968448,828.0273047803212,597.2901258127267,774.1200991655871,1012
BeetleLM/beetlelm_fas-nld_balanced,step-16000,fas,6.290363191380331,792.9875678868444,521.5791034281774,845.9356710781639,1012
BeetleLM/beetlelm_fas-nld_late,step-8000,fas,6.438083117187259,874.5007971560971,614.6652322063135,849.3679105365354,1012
BeetleLM/beetlelm_fas-nld_late,step-8000,nld,10.815323202035172,71784.20448466357,52666.121345077205,68851.50254391239,1012
BeetleLM/beetlelm_fas-nld_part_time,step-8000,fas,6.438083117187259,874.5007971560971,614.6652322063135,849.3679105365354,1012
BeetleLM/beetlelm_fas-nld_part_time,step-8000,nld,10.815323202035172,71784.20448466357,52666.121345077205,68851.50254391239,1012
BeetleLM/beetlelm_fas-nld_sequential,step-8000,fas,6.438083117187259,874.5007971560971,614.6652322063135,849.3679105365354,1012
BeetleLM/beetlelm_fas-nld_sequential,step-8000,nld,10.815323202035172,71784.20448466357,52666.121345077205,68851.50254391239,1012
BeetleLM/beetlelm_fas-nld_simultaneous,step-10000,fas,6.544528788257494,1053.6026321620043,671.8511114976807,1167.5211310024902,1012
BeetleLM/beetlelm_fas-nld_simultaneous,step-10000,nld,6.769861620876629,1067.5790118443851,886.4612483794049,883.2158067364122,1012
BeetleLM/beetlelm_fas-ukr_balanced,step-5000,fas,7.070556183577526,1516.829385723278,1174.2958805523322,1220.9074038671667,1012
BeetleLM/beetlelm_fas-ukr_heritage,step-10000,fas,6.427471808765246,927.9287735971333,589.6852100251816,1019.2481195038051,1012
BeetleLM/beetlelm_fas-ukr_late,step-8000,fas,6.341528692264331,797.1467010861736,557.7613289231833,816.7423447790476,1012
BeetleLM/beetlelm_fas_mono,step-30000,fas,3.5652562165448787,40.83156720437475,34.69455960994351,27.029385160452563,1012
BeetleLM/beetlelm_fra-deu_balanced,step-4000,fra,6.495460150270123,809.6216118624232,668.9128051054748,569.4496811207224,1012
BeetleLM/beetlelm_fra-ind_balanced,step-2444,fra,7.103835767436876,1390.6295816388251,1230.0918050213554,736.0318106877806,1012
BeetleLM/beetlelm_fra-ind_heritage,step-5499,fra,6.024529534366291,506.4216039888274,418.66308088056115,350.219959425834,1012
BeetleLM/beetlelm_fra-ind_late,step-4000,fra,6.1735156213813145,576.2649688567791,494.9370485939379,375.86019729456643,1012
BeetleLM/beetlelm_fra-ukr_balanced,step-5000,fra,6.0280734138055285,493.55149924366833,428.9564638087485,306.50284319156947,1012
BeetleLM/beetlelm_fra-ukr_heritage,step-5000,fra,6.036644383381478,495.0826740725637,436.88925214345966,299.277619012087,1012
BeetleLM/beetlelm_fra-ukr_late,step-4000,fra,6.036742386846203,489.45161756764475,442.79305093316475,285.2678117142252,1012
BeetleLM/beetlelm_fra-ukr_part_time,step-4000,fra,6.036742386846203,489.45161756764475,442.79305093316475,285.2678117142252,1012
BeetleLM/beetlelm_fra-ukr_sequential,step-4000,fra,6.036742386846203,489.45161756764475,442.79305093316475,285.2678117142252,1012
BeetleLM/beetlelm_fra_mono,step-30000,fra,3.596098644695734,44.88610583493445,35.77218837240392,35.28774842305069,1012
BeetleLM/beetlelm_ind-deu_heritage,step-1000,deu,9.555414187578345,14766.007398530912,14044.885101507394,4861.244699483115,1012
BeetleLM/beetlelm_nld-bul_balanced,step-30569,bul,6.266176238361554,680.4252280071262,504.53605138733474,588.6514649135722,1012
BeetleLM/beetlelm_nld-bul_balanced,step-30569,nld,5.404493950336819,293.7329044902294,220.15297369122624,293.481511855003,1012
BeetleLM/beetlelm_nld-bul_heritage,step-25000,bul,6.695486181338314,990.3442184701191,814.3365625438494,777.7174365320299,1012
BeetleLM/beetlelm_nld-bul_heritage,step-25000,nld,5.209544842186653,226.56256260056477,178.28144526639164,183.15767310962082,1012
BeetleLM/beetlelm_nld-bul_late,step-19000,bul,13.101201871638242,590262.8361613738,533160.1115654308,334222.33725355857,1012
BeetleLM/beetlelm_nld-bul_late,step-19000,nld,5.21825191390373,227.0504454000663,179.39820945754104,171.10923355532952,1012
BeetleLM/beetlelm_nld-deu_balanced,step-4000,nld,7.410304126532181,1913.2095938388954,1659.1763231674938,1158.8278680258102,1012
BeetleLM/beetlelm_nld-deu_part_time,step-20000,deu,7.199777347768248,1559.3767666110773,1296.9969969203903,994.5234098996267,1012
BeetleLM/beetlelm_nld-deu_part_time,step-20000,nld,5.771722703347565,409.47925193941256,315.93241337052746,332.6365338164451,1012
BeetleLM/beetlelm_nld-fra_balanced,step-8000,fra,5.6426526437635,353.5220099115926,282.16306426683593,263.70462435248595,1012
BeetleLM/beetlelm_nld-fra_balanced,step-8000,nld,6.780577425429001,1064.493706517192,887.8782446057005,730.856714996123,1012
BeetleLM/beetlelm_nld-fra_heritage,step-16000,fra,5.311528784719852,261.48132347835065,197.21869978312202,222.4894569801328,1012
BeetleLM/beetlelm_nld-fra_heritage,step-16000,nld,6.059456823371616,567.6538479366063,433.83214376830256,538.1686471772198,1012
BeetleLM/beetlelm_nld-ind_balanced,step-2444,nld,7.845961875595123,2819.79230692523,2511.3642192884627,1322.086525735351,1012
BeetleLM/beetlelm_nld-ukr_balanced,step-5000,nld,7.074269870995533,1357.6968813920726,1170.9686606590367,806.1830503559886,1012
BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,eng,5.505446455224229,357.8542936429972,251.52297875949188,377.4373971802644,1012
BeetleLM/beetlelm_nld_L1-eng_L2_balanced,step-30000,nld,5.6662856903471965,384.8209994942478,278.7035837540517,363.5361059677464,1012
BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,eng,5.641313415742204,405.6606623336287,289.4903781579168,430.7507944807912,1012
BeetleLM/beetlelm_nld_L1-eng_L2_simultaneous,step-30000,nld,5.512570945877331,325.89434313166157,250.37421063251884,297.3376633408907,1012
BeetleLM/beetlelm_nld_mono,step-30000,nld,3.1533248435131647,26.16556729627965,23.061931846710912,13.657581004080239,1012
